skill_a,skill_b,co_occurrence_count,support,confidence_a_to_b,lift
C,Maven (build tool),1942,0.0324,0.1594,1.134
SQL,Gradle,4820,0.0803,0.1571,1.134
JavaScript,Microsoft SQL Server,9408,0.1568,0.2509,1.134
Bash/Shell (all shells),PHP,4220,0.0703,0.2067,1.133
Java,Make,3876,0.0646,0.2125,1.133
Amazon Web Services (AWS),Java,7635,0.1272,0.3441,1.132
React,Microsoft Azure,4645,0.0774,0.2423,1.132
Docker,NuGet,4796,0.0799,0.1641,1.132
Docker,PHP,6030,0.1005,0.2064,1.131
React,Pip,6339,0.1056,0.3307,1.13
Python,PostgreSQL,14761,0.246,0.4805,1.129
Docker,Java,10021,0.167,0.343,1.128
Python,MongoDB,7495,0.1249,0.244,1.126
Node.js,NuGet,3230,0.0538,0.1634,1.126
JavaScript,PostgreSQL,17941,0.299,0.4785,1.125
SQL,Vite,6202,0.1034,0.2021,1.123
HTML/CSS,Bash/Shell (all shells),12139,0.2023,0.3815,1.122
Java,Redis,3568,0.0595,0.1956,1.122
Python,Docker,16756,0.2792,0.5455,1.12
JavaScript,Amazon Web Services (AWS),15523,0.2587,0.414,1.12
TypeScript,Microsoft SQL Server,5738,0.0956,0.2479,1.12
React,Java,6518,0.1086,0.3401,1.119
Microsoft Azure,MariaDB,2153,0.0359,0.1675,1.118
Vite,Kubernetes,2115,0.0352,0.1958,1.118
Python,Java,10433,0.1739,0.3396,1.117
Python,Redis,5982,0.0997,0.1947,1.117
SQL,React,10943,0.1824,0.3567,1.117
npm,Java,9113,0.1519,0.3392,1.116
C++,MongoDB,3345,0.0557,0.2419,1.116
JavaScript,C#,11355,0.1892,0.3029,1.114
PostgreSQL,Microsoft Azure,6093,0.1015,0.2386,1.114
HTML/CSS,Microsoft Azure,7585,0.1264,0.2384,1.113
JavaScript,Java,12671,0.2112,0.338,1.112
HTML/CSS,Google Cloud,6843,0.114,0.2151,1.112
npm,Microsoft SQL Server,6606,0.1101,0.2459,1.112
Pip,Webpack,3240,0.054,0.1845,1.11
HTML/CSS,Visual Studio Solution,4888,0.0815,0.1536,1.109
npm,Bash/Shell (all shells),10138,0.1689,0.3774,1.109
Docker,jQuery,5602,0.0934,0.1917,1.108
C,Express,1937,0.0323,0.159,1.108
TypeScript,Bash/Shell (all shells),8719,0.1453,0.3766,1.107
Amazon Web Services (AWS),SQLite,7093,0.1182,0.3196,1.105
Python,Homebrew,6831,0.1138,0.2224,1.105
Pip,jQuery,3353,0.0559,0.1909,1.104
JavaScript,Microsoft Azure,8864,0.1477,0.2364,1.104
Python,MariaDB,5069,0.0845,0.165,1.101
npm,C#,8043,0.134,0.2994,1.101
SQL,Homebrew,6797,0.1133,0.2215,1.1
TypeScript,Java,7731,0.1288,0.334,1.099
PostgreSQL,jQuery,4857,0.0809,0.1902,1.099
MongoDB,NuGet,2072,0.0345,0.1593,1.098
Java,Homebrew,4030,0.0672,0.221,1.098
PostgreSQL,PHP,5105,0.0851,0.1999,1.095
JavaScript,Docker,19984,0.333,0.533,1.095
Bash/Shell (all shells),Vite,4017,0.0669,0.1968,1.093
Vite,PowerShell,1638,0.0273,0.1516,1.092
Make,PHP,2244,0.0374,0.1993,1.092
SQL,Next.js,4848,0.0808,0.158,1.092
Make,PowerShell,1705,0.0284,0.1514,1.091
React,PowerShell,2901,0.0483,0.1514,1.091
Microsoft SQL Server,Kubernetes,2536,0.0423,0.191,1.091
HTML/CSS,PostgreSQL,14757,0.2459,0.4638,1.09
HTML/CSS,Homebrew,6980,0.1163,0.2194,1.09
MySQL,C++,5299,0.0883,0.2511,1.09
Yarn,NuGet,1609,0.0268,0.1576,1.087
Microsoft Azure,Express,2004,0.0334,0.156,1.086
HTML/CSS,Java,10496,0.1749,0.3299,1.085
Python,Amazon Web Services (AWS),12316,0.2052,0.4009,1.084
PowerShell,Gradle,1250,0.0208,0.1501,1.084
MySQL,Microsoft Azure,4896,0.0816,0.232,1.084
SQLite,Kubernetes,3295,0.0549,0.1897,1.084
npm,Make,5462,0.091,0.2033,1.084
C#,MongoDB,3835,0.0639,0.235,1.084
Bash/Shell (all shells),MongoDB,4789,0.0798,0.2346,1.082
Microsoft Azure,Next.js,2004,0.0334,0.156,1.078
Make,Webpack,2015,0.0336,0.179,1.077
MongoDB,Make,2628,0.0438,0.202,1.077
Python,SQL,16870,0.2811,0.5492,1.074
C,jQuery,2261,0.0377,0.1856,1.073
Next.js,PowerShell,1293,0.0215,0.1489,1.073
Microsoft Azure,Homebrew,2772,0.0462,0.2157,1.072
Microsoft SQL Server,Redis,2480,0.0413,0.1868,1.071
C,Google Cloud,2524,0.0421,0.2072,1.071
HTML/CSS,Pip,9975,0.1662,0.3135,1.071
React,NuGet,2973,0.0495,0.1551,1.07
SQLite,Maven (build tool),2609,0.0435,0.1502,1.069
C++,Maven (build tool),2073,0.0345,0.1499,1.067
JavaScript,Maven (build tool),5624,0.0937,0.15,1.067
Bash/Shell (all shells),Microsoft Azure,4664,0.0777,0.2285,1.067
Microsoft SQL Server,Webpack,2351,0.0392,0.1771,1.066
HTML/CSS,Docker,16513,0.2752,0.519,1.066
Node.js,Make,3956,0.0659,0.2001,1.066
Python,MySQL,11500,0.1916,0.3744,1.065
Node.js,C#,5727,0.0954,0.2897,1.065
JavaScript,Bash/Shell (all shells),13582,0.2263,0.3623,1.065
Bash/Shell (all shells),jQuery,3753,0.0625,0.1839,1.063
JavaScript,Gradle,5510,0.0918,0.147,1.061
C++,Google Cloud,2834,0.0472,0.205,1.06
Node.js,Microsoft SQL Server,4630,0.0772,0.2342,1.059
MySQL,Bash/Shell (all shells),7585,0.1264,0.3595,1.057
MySQL,Make,4175,0.0696,0.1979,1.055
Python,Gradle,4486,0.0748,0.146,1.055
Python,Express,4649,0.0775,0.1513,1.054
Node.js,C,4222,0.0704,0.2135,1.052
Pip,PHP,3367,0.0561,0.1917,1.051
Homebrew,jQuery,2195,0.0366,0.1817,1.05
Microsoft SQL Server,Maven (build tool),1960,0.0327,0.1476,1.05
JavaScript,Pip,11513,0.1919,0.3071,1.049
C#,PHP,3121,0.052,0.1913,1.048
HTML/CSS,Amazon Web Services (AWS),12320,0.2053,0.3872,1.047
Java,Yarn,3241,0.054,0.1777,1.045
Java,Next.js,2757,0.0459,0.1512,1.045
C++,Express,2071,0.0345,0.1498,1.043
Bash/Shell (all shells),React,6800,0.1133,0.3331,1.043
JavaScript,Kubernetes,6844,0.114,0.1825,1.043
Bash/Shell (all shells),Next.js,3076,0.0513,0.1507,1.042
PostgreSQL,PowerShell,3693,0.0615,0.1446,1.042
Python,Node.js,10544,0.1757,0.3432,1.042
C#,Webpack,2825,0.0471,0.1731,1.042
TypeScript,Pip,7037,0.1173,0.304,1.039
Kubernetes,jQuery,1881,0.0313,0.1791,1.035
Python,Maven (build tool),4461,0.0743,0.1452,1.033
HTML/CSS,C,6669,0.1111,0.2096,1.032
JavaScript,Visual Studio Solution,5341,0.089,0.1425,1.028
Microsoft SQL Server,Google Cloud,2640,0.044,0.1989,1.028
C++,NuGet,2060,0.0343,0.149,1.027
NuGet,Gradle,1237,0.0206,0.1421,1.026
Pip,Microsoft Azure,3860,0.0643,0.2198,1.026
HTML/CSS,Gradle,4516,0.0753,0.1419,1.025
Amazon Web Services (AWS),PowerShell,3157,0.0526,0.1423,1.025
C#,MariaDB,2503,0.0417,0.1534,1.024
MySQL,C#,5871,0.0978,0.2783,1.023
Docker,Microsoft SQL Server,6615,0.1102,0.2264,1.023
Node.js,C++,4661,0.0777,0.2357,1.023
React,C#,5330,0.0888,0.2781,1.023
Make,Next.js,1665,0.0277,0.1479,1.022
C++,jQuery,2445,0.0407,0.1768,1.022
Python,Next.js,4531,0.0755,0.1475,1.02
Java,Microsoft SQL Server,4109,0.0685,0.2253,1.018
Make,Vite,2063,0.0344,0.1832,1.018
HTML/CSS,Maven (build tool),4532,0.0755,0.1424,1.013
PHP,Maven (build tool),1558,0.026,0.1423,1.012
SQL,Make,5821,0.097,0.1897,1.011
Microsoft Azure,Gradle,1798,0.03,0.1399,1.01
HTML/CSS,Python,16444,0.274,0.5168,1.01
MariaDB,NuGet,1310,0.0218,0.1457,1.005
Next.js,Maven (build tool),1222,0.0204,0.1408,1.001
Vite,NuGet,1565,0.0261,0.1449,0.999
Java,Microsoft Azure,3900,0.065,0.2138,0.999
React,Make,3594,0.0599,0.1875,0.999
Python,React,9792,0.1632,0.3188,0.998
npm,Visual Studio Solution,3711,0.0618,0.1381,0.997
Java,C#,4921,0.082,0.2698,0.992
JavaScript,Python,19003,0.3167,0.5069,0.99
C#,Gradle,2235,0.0372,0.137,0.989
PostgreSQL,Microsoft SQL Server,5581,0.093,0.2186,0.988
Vite,Maven (build tool),1499,0.025,0.1387,0.987
MySQL,NuGet,3016,0.0503,0.1429,0.986
Java,Webpack,2986,0.0498,0.1637,0.985
Microsoft Azure,Vite,2277,0.0379,0.1772,0.984
Make,jQuery,1916,0.0319,0.1702,0.984
Python,PHP,5507,0.0918,0.1793,0.982
SQL,C,6114,0.1019,0.1993,0.981
Python,npm,13489,0.2248,0.4391,0.981
HTML/CSS,C++,7186,0.1197,0.2259,0.98
JavaScript,C,7449,0.1241,0.1987,0.979
Docker,C,5801,0.0967,0.1985,0.978
React,Microsoft SQL Server,4139,0.069,0.2159,0.976
Python,Microsoft Azure,6409,0.1068,0.2086,0.974
C#,Redis,2772,0.0462,0.1699,0.974
Docker,C#,7726,0.1287,0.2644,0.972
Microsoft Azure,PHP,2277,0.0379,0.1772,0.971
TypeScript,Make,4215,0.0702,0.1821,0.97
Pip,NuGet,2470,0.0412,0.1407,0.97
Amazon Web Services (AWS),Microsoft SQL Server,4724,0.0787,0.2129,0.962
Python,Yarn,5011,0.0835,0.1631,0.959
C#,Kubernetes,2737,0.0456,0.1677,0.958
Python,jQuery,5076,0.0846,0.1652,0.955
HTML/CSS,Kubernetes,5316,0.0886,0.1671,0.955
MySQL,Visual Studio Solution,2785,0.0464,0.132,0.953
PHP,Kubernetes,1826,0.0304,0.1667,0.953
Python,TypeScript,11277,0.1879,0.3671,0.952
TypeScript,Visual Studio Solution,3048,0.0508,0.1317,0.95
Python,Vite,5248,0.0875,0.1708,0.949
C#,Express,2224,0.0371,0.1363,0.949
PostgreSQL,C,4917,0.0819,0.1926,0.948
JavaScript,C++,8186,0.1364,0.2183,0.948
Docker,C++,6356,0.1059,0.2175,0.944
JavaScript,Make,6638,0.1106,0.1771,0.944
MongoDB,Visual Studio Solution,1699,0.0283,0.1306,0.943
PostgreSQL,NuGet,3491,0.0582,0.1367,0.943
Microsoft SQL Server,Gradle,1729,0.0288,0.1302,0.941
C,Next.js,1656,0.0276,0.1359,0.94
Microsoft SQL Server,Yarn,2122,0.0354,0.1598,0.94
SQL,C++,6633,0.1105,0.2162,0.938
Java,Vite,3081,0.0513,0.1689,0.938
Node.js,Visual Studio Solution,2563,0.0427,0.1296,0.936
HTML/CSS,Make,5571,0.0928,0.1751,0.933
Bash/Shell (all shells),NuGet,2751,0.0458,0.1348,0.929
PHP,NuGet,1470,0.0245,0.1342,0.926
NuGet,Express,1151,0.0192,0.1323,0.921
C#,Yarn,2555,0.0426,0.1566,0.92
C++,Next.js,1833,0.0305,0.1326,0.916
Webpack,Visual Studio Solution,1264,0.0211,0.1268,0.915
React,C,3557,0.0593,0.1856,0.914
C,Homebrew,2229,0.0371,0.1829,0.909
React,C++,4009,0.0668,0.2092,0.908
Pip,Visual Studio Solution,2203,0.0367,0.1254,0.905
Microsoft SQL Server,Express,1724,0.0287,0.1299,0.905
Microsoft Azure,Make,2178,0.0363,0.1695,0.903
C#,Google Cloud,2850,0.0475,0.1747,0.903
PostgreSQL,C#,6260,0.1043,0.2451,0.902
npm,C,4915,0.0819,0.1829,0.901
Amazon Web Services (AWS),NuGet,2898,0.0483,0.1306,0.9
C++,Microsoft SQL Server,2749,0.0458,0.1988,0.899
Bash/Shell (all shells),Microsoft SQL Server,4054,0.0676,0.1986,0.898
C#,Vite,2639,0.044,0.1617,0.898
C#,Next.js,2120,0.0353,0.1299,0.898
NuGet,Next.js,1128,0.0188,0.1296,0.896
PHP,Visual Studio Solution,1358,0.0226,0.124,0.895
NuGet,Maven (build tool),1094,0.0182,0.1257,0.894
PostgreSQL,C++,5261,0.0877,0.206,0.894
Make,Visual Studio Solution,1393,0.0232,0.1237,0.893
C++,Microsoft Azure,2640,0.044,0.1909,0.892
Python,C#,7449,0.1241,0.2425,0.892
MariaDB,Visual Studio Solution,1110,0.0185,0.1235,0.891
Bash/Shell (all shells),C#,4946,0.0824,0.2423,0.891
Pip,C#,4248,0.0708,0.2419,0.89
Docker,Visual Studio Solution,3588,0.0598,0.1228,0.886
Google Cloud,NuGet,1482,0.0247,0.1277,0.881
C,Redis,1865,0.0311,0.1531,0.878
C,Yarn,1817,0.0303,0.1491,0.877
Python,Webpack,4468,0.0745,0.1454,0.875
npm,C++,5409,0.0901,0.2013,0.874
C,NuGet,1537,0.0256,0.1261,0.87
Kubernetes,Visual Studio Solution,1261,0.021,0.1201,0.866
Google Cloud,Visual Studio Solution,1393,0.0232,0.12,0.866
Pip,Microsoft SQL Server,3360,0.056,0.1913,0.865
Python,Microsoft SQL Server,5873,0.0979,0.1912,0.864
TypeScript,C,4058,0.0676,0.1753,0.863
Visual Studio Solution,Gradle,992,0.0165,0.1193,0.862
Amazon Web Services (AWS),C,3881,0.0647,0.1749,0.861
Amazon Web Services (AWS),C#,5180,0.0863,0.2334,0.858
Microsoft Azure,C,2227,0.0371,0.1733,0.854
C#,Maven (build tool),1948,0.0325,0.1194,0.849
C,Vite,1863,0.031,0.1529,0.849
C,Kubernetes,1808,0.0301,0.1484,0.848
Microsoft SQL Server,Vite,2026,0.0338,0.1526,0.848
Microsoft SQL Server,Next.js,1629,0.0271,0.1227,0.848
Python,Visual Studio Solution,3610,0.0602,0.1175,0.848
TypeScript,C++,4515,0.0752,0.195,0.846
C++,Homebrew,2343,0.039,0.1695,0.842
Bash/Shell (all shells),Visual Studio Solution,2369,0.0395,0.1161,0.838
Microsoft SQL Server,C,2250,0.0375,0.1695,0.835
Java,NuGet,2203,0.0367,0.1208,0.833
C++,Redis,2006,0.0334,0.1451,0.832
Homebrew,PowerShell,1391,0.0232,0.1151,0.83
Java,Visual Studio Solution,2090,0.0348,0.1146,0.827
Amazon Web Services (AWS),C++,4205,0.0701,0.1895,0.822
Redis,Visual Studio Solution,1188,0.0198,0.1135,0.819
C++,Yarn,1918,0.032,0.1387,0.815
React,Visual Studio Solution,2151,0.0358,0.1122,0.81
Maven (build tool),Visual Studio Solution,934,0.0156,0.1107,0.799
Python,NuGet,3554,0.0592,0.1157,0.798
C++,Kubernetes,1926,0.0321,0.1393,0.796
C++,Vite,1970,0.0328,0.1425,0.791
C#,Make,2400,0.04,0.1471,0.784
Amazon Web Services (AWS),Visual Studio Solution,2398,0.04,0.1081,0.78
Yarn,Visual Studio Solution,1101,0.0183,0.1078,0.778
Make,NuGet,1269,0.0211,0.1127,0.777
C,Webpack,1536,0.0256,0.1261,0.759
Homebrew,NuGet,1296,0.0216,0.1073,0.74
PostgreSQL,Visual Studio Solution,2614,0.0436,0.1024,0.739
C++,Webpack,1688,0.0281,0.1221,0.735
Microsoft SQL Server,Homebrew,1892,0.0315,0.1425,0.708
Express,Visual Studio Solution,828,0.0138,0.0961,0.694
C#,Homebrew,2246,0.0374,0.1376,0.684
Next.js,Visual Studio Solution,808,0.0135,0.0931,0.672
Microsoft SQL Server,Make,1605,0.0267,0.1209,0.644
Vite,Visual Studio Solution,955,0.0159,0.0884,0.638
Homebrew,Visual Studio Solution,910,0.0152,0.0753,0.544
